time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-06 00:00:00+00:00,1,1,10,7
2026-08-07 00:00:00+00:00,15,6,16,11
2026-08-08 00:00:00+00:00,14,5,6,4
2026-08-09 00:00:00+00:00,8,4,5,5
2026-08-10 00:00:00+00:00,13,4,20,6
2026-08-11 00:00:00+00:00,10,5,13,8
2026-08-12 00:00:00+00:00,13,4,16,8
2026-08-13 00:00:00+00:00,19,8,13,9
2026-08-14 00:00:00+00:00,12,7,16,8
2026-08-15 00:00:00+00:00,19,8,11,5
2026-08-16 00:00:00+00:00,7,3,8,8
2026-08-17 00:00:00+00:00,3,3,11,4
2026-08-18 00:00:00+00:00,1,1,24,11
2026-08-19 00:00:00+00:00,1,1,6,5
