time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-02 00:00:00+00:00,4,4,38,15
2025-09-03 00:00:00+00:00,6,6,22,11
2025-09-04 00:00:00+00:00,2,2,46,16
2025-09-05 00:00:00+00:00,4,4,40,16
2025-09-06 00:00:00+00:00,2,2,15,10
2025-09-07 00:00:00+00:00,2,2,18,16
2025-09-08 00:00:00+00:00,2,2,28,11
2025-09-09 00:00:00+00:00,3,3,14,9
2025-09-10 00:00:00+00:00,2,2,32,17
2025-09-11 00:00:00+00:00,1,1,39,19
2025-09-12 00:00:00+00:00,1,1,23,14
2025-09-13 00:00:00+00:00,2,2,15,10
2025-09-14 00:00:00+00:00,4,4,30,13
2025-09-15 00:00:00+00:00,1,1,57,20
