time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-10 00:00:00+00:00,17,5,14,11
2026-05-11 00:00:00+00:00,2,2,13,11
2026-05-12 00:00:00+00:00,23,5,25,16
2026-05-13 00:00:00+00:00,14,3,19,9
2026-05-14 00:00:00+00:00,10,5,21,12
2026-05-15 00:00:00+00:00,24,7,9,8
2026-05-16 00:00:00+00:00,12,4,37,17
2026-05-17 00:00:00+00:00,15,6,21,11
2026-05-18 00:00:00+00:00,3,3,14,13
2026-05-19 00:00:00+00:00,21,8,11,6
2026-05-20 00:00:00+00:00,12,3,21,12
2026-05-21 00:00:00+00:00,16,6,8,8
2026-05-22 00:00:00+00:00,1,1,14,11
2026-05-23 00:00:00+00:00,25,11,12,10
